sentence,label
社评牺牲部分自由以确保公众健康,1
黄综翰呼吁给大马球员更多自由不要像看犯人一样,1
美“间谍”寄望通过“换囚”获自由,1
BandaiNamco正式宣布全新1：1「自由钢弹」将登陆中国,1
昔日大连真核再成自由身有望落叶归根加盟老东家,1
微信箝制言论延至海外华人欲集体起诉腾讯,-1
如何评估香港自由被国安法打压且看六点,-1
越南言论自由权和新闻自由权得到保障,1
官方：曼联外租桑切斯至赛季结束19岁天才自由身离队,0
欧洲申根区有望6月底前恢复自由通行,1
为什么愚蠢对于美国人是一种自由,-1
助力烟台自贸区高质量发展烟台自由贸易试点区研究院成立,1
让兰花在山野间自由绽放保护野生兰科植物需要社会各方参与,1
华春莹：英国给过香港什么自由,-1
世界新闻自由指数出炉，中国位列倒数第四,-1
蒙古族雕塑家苏立德：自由是条不归路,-1
7月中旬恢复北京自由行吗来看下出入北京最新规定,1
美国推国际宗教自由联盟台湾遭排除在外,-1
两自由人男单获马羽协集训邀请有望出战汤姆斯杯,0
土耳其和英国接近达成自由贸易协议,1
李文亮之死激起中国人争取言论自由的热浪,1
国际记者联盟对香港媒体自由表示担忧,-1
南方日报：“言论自由”不是颠倒黑白,-1
美国特色：当“言论自由”怼上“政治正确”,-1
德国华人悼念李文亮呼唤言论自由,1
财务自由！28岁程序员宣布“退休”，你酸了吗,1
厘清煽动罪行与言论自由的法治边界香港国安法热点透视之六,1
新国安法威胁新闻自由，香港电台独立性或遭扼杀,-1
关于自由，年轻人相信的最大一个谎言是什么神学教授给答案,-1
纽约悼念李文亮：要言论自由、要真相,1
蓬佩奥呼吁德国：一起对抗中俄为自由而战,1
加州要加速疫情解冻，洛杉矶居民“用生命搏自由”,1
香港《国安法》：政府在学校禁政治歌曲与“言论自由”争议,-1
海南自由贸易港政策将吸引一批赛事落户,1
荷兰研究：中共将一切政治化干扰学术自由,-1
央行海口中支行长曹协和:全面落实自由贸易港金融政策,1
德语媒体：自由、公正、自决,1
【会议直击】香港上市公司商会建议政府暂缓2%自由增购权限制,0
自律才能自由,1
香港自由遭破坏加拿大须更强回应,-1
“穿衣自由”到底自由在哪里,0
铜锣湾书店重生﹕以书为矛投身自由之战,1
意甲C罗攻进久违自由球中国报,0
蓬佩奥抨击中共摧毁香港言论自由,-1
讽刺时事节目遭停播，言论自由在香港还有多少空间,-1
自由的引力香港民主派初选成功,1
隔离百日后首都管控升级阿根廷总统：活着才能享受自由,1
疫情未退宁愿自由行国内游没旺旅行社,0
美媒建议绿凯为复赛签自由球员，5选1小刺客呼声最高，考神已,0
Jeep新款自由光正式上市售1968万元起,0
小饼子：中美的一些差距,0
“封杀文化”席卷欧美自由反被自由误,-1
郭万达：海南自由贸易港强调制度集成创新,1
宪法保障结社自由反跳槽法必要性待研究,1
Jeep自由光经典运动版上市售1798万元,0
NBA球星公布复赛球衣标语自由平等数量最多,1
国务院《关于做好自由贸易试验区第六批改革试验经验复制推广,1
香港保安局长回应社交平台决定：香港资讯自由开放，不同公司有,1
美国政客自己撕破了“言论自由”假面具,-1
言论自由与新冠疫情有何关系,0
蒋劲夫否认家暴：未限制女友人身自由未羞辱父母,0
陈逸飞：消音文化与言论自由名家,0
纪念陈寅恪诞辰130周年：最是文人不自由,1
网曝天津市足协设置障碍禁止前天海球员自由转会,0
中国：应撤回国安法以保香港自由,1
台北市议员声援“为西藏自由而骑”支持西藏人权,1
防长：可自由跨州来往东西马无需隔离,1
自由，非要有钱不可吗毕达哥拉斯的回答很独到，很精辟,1
疫情可能产生积极的政治结果，比如自由民主的重生,1
必看！哪些人可以自由往来匈牙利,1
那年，自由在广场上空飘荡，又转瞬即逝,-1
观点：C罗走后本泽马踢得更自由他能表现自我,0
Keanna愿一毛不拿恢复自由,1
美国疫情持续恶化官员称“处于自由落体状态”,-1
“拐点”尚未到来，自律才能自由,1
官宣离队！前CBA助攻王成自由球员曾效力广厦,0
捍卫言论自由：公民力量计划起诉微信,1
韩圣健：海南自由贸易港建设总体方案主要优惠政策和投资机遇,1
外交部：美所谓“新闻自由”是赤裸裸的“双重标准”和霸凌行径,-1
平庸皇帝如何缔造盛世：他用“万事不自由”换来宋代繁荣,1
黄奇帆：海南自由贸易港建设带来无限机遇,1
继华为之后美国又盯上抖音科技公司“自由生长”时代宣告结束,-1
央行行长易纲:上海可以在人民币自由兑换等方面先行先试,1
发改委下达中央预算内投资35亿元支持海南自由贸易港建设,1
NBA复赛窗口期到来哪位自由球员最吃香,0
病毒比自由来得更早！中国船员马达加斯加监狱岁月,-1
戏院男女分开坐“危胁人权自由”倪可敏促中央正视,-1
马羽协提高自由人战汤杯标准不能增值就选新人,0
德国之声言论自由奖：来自14国的17位获奖者,1
外交部：中国依法保护公民宗教信仰自由,1
德语媒体：保卫香港的自由就是保卫欧洲的自由,1
庄仁杰：言论自由与免于恐惧的自由,1
被指言论反犹敦马：行使言论自由权利,-1
中国“相互尊重”vs德国“言论自由”,1
言论自由下的不自由,-1
社交网络有责：言论自由≠肆意宣传,-1
"港府：《国歌法》绝非""限制言论自由""会适时恢复条例草案二读辩论",1
【思想领袖】美政府应在大学保障言论自由,1
Facebook、Twitter和谷歌的言论自由声誉在香港面临考验,-1
教长：言论自由被滥用“网络恶言似成'趋势'”,-1
中国香港言论自由呼声增加；北京驱逐了美国记者,-1
【名家专栏】民主的价值：尊重异议者的言论自由,1
戈壁东：民主社会必须警惕中共利用「言论自由」的战争行为,1
中共驱逐华日三记者欧盟：攻击言论自由,-1
果然，又拿“言论自由”当挡箭牌了,-1
梁振英斥叶建源藉词言论自由误导学生,-1
时事评论：国家安全必须牺牲言论自由,-1
美国侨报：捍卫大学校园言论自由或成“双刃剑”,-1
林青：红色势力钻美国言论自由空子渗透纽约,-1
言论自由苦主fb专页投诉被删,-1
要闻解说新冠疫情下中国外交官PK西方媒体言论自由,0
私人网路不受言论自由限制法官裁能审查内容,1
湖人队球星詹姆斯：言论自由有代价,-1
刘华才：申请庭令禁华团大会“警方钳制言论自由”,-1
言论自由打不死“惊讯”被港府封杀移师网络频道播出,1
隔海观澜民进党当局愧对“言论自由日”朱穗怡,-1
中科院开除骂中国人的老外，跟“言论自由”啥关系,-1
谢NBA挺言论自由纽约麦迪逊广场集会撑港,1
莱伊拉计划'乐团成黎巴嫩最新言论自由受害者,-1
伊拉克掀示威潮媒体遇袭外界忧言论自由受损,-1
伊斯兰–阿尔及利亚言论自由在伊斯兰宗教裁判所的打击下濒死,-1
捍卫英学术和言论自由英大学倡导机构为大学提供安全保护指南,1
多伦多大学生静坐抗议中共打压言论自由,1
美使馆官微发视频挺言论自由引发网友与五毛混战,-1
一切言论自由都是建立在政治正确基础上的！,1
谈言论自由蔡英文：越民主越有信心战胜病毒,1
海外首个悼念李文亮集会：要言论自由除掉疫情的最好方法是说,1
联合国人权高专：对朝散发传单属言论自由,1
法院驳回夏威夷议员针对Google提出的言论自由诉讼,-1
干涉宗教言论自由加州决议ACR99引争议,-1
聚焦网络实名制：信息会泄露言论自由受限吗,-1
人权团体呼吁中国停止打压网上言论自由,1
2018年言论自由奖得主：伊朗学者齐巴卡兰,1
ICT批评中共借扫荡非法出版物打击西藏言论自由,-1
“禁止传播”不等同“限制言论自由”,1
视言论自由无物港大集会沦笑话,-1
NBA总裁支持火箭总经理言论自由,1
陈秋实视频再现身：继续行使言论自由权利,1
“有言论自由也须承担后果”SunnyCoco劝网民慎言,-1
就社交媒体言论自由特朗普已和扎克伯格通话双方均称富有成效,1
港记协年报：「国安法」令言论自由已到危急存亡之秋,-1
洛民运人士中领馆前抗议呼吁言论自由,1
推特脸书高级黑诠释美国“言论自由”,-1
给香港的言论自由“消毒”漫画,-1
外交部副部长乐玉成：言论自由也有“红线”,0
台独殉道者的言论自由能不能容忍统一,0
新加坡假讯息法惹议脸书：恐抑制言论自由,-1
Facebook：欧盟提案将威胁创新和言论自由,-1
蔡英文声援运动场外“言论自由”,1
新冠疫情下，海外湖北人吁争取言论自由,1
联合国确定60起南苏丹侵犯言论自由权事件,-1
张恒学言论自由和暴雪事件言路,0
【武汉肺炎】蓬佩奥指责中国打压言论自由隐暪疫情造成致命后果,-1
半数英国高校限制“言论自由”3年里共颁布148条校园禁令,-1
NBA总裁称支持言论自由莫雷推特事件影响扩大到中国赛,1
白银投资晨报：“完全是在扼杀言论自由！”特朗普炮轰推特干预大选银价恐跌势难止,-1
当创新和言论自由成为一种武器,-1
要求美官员关注中国言论自由张贾龙寻衅滋事案开审,-1
中共严控言论自由在大陆的台湾人被警告不要谈论香港,-1
反对一国两制：台湾民间团体于言论自由日游行抗议中共,1
肖华发表新声明：尊重言论自由相信体育的力量,1
川普怒呛推特：干预大选、扼杀言论自由,-1
"中国总领事赞""爱国行为""澳外长:望尊重言论自由",1
剥削言论自由权利律师公会抨警方申请庭令禁大会,-1
黄晓虹言论自由与皇后言路,0
刘华才：马大打压学生言论自由,-1
言论自由应该是什么样的自由,0
哈登表态支持肖华言论自由观点未提及莫雷,1
台湾的言论自由已被圈在民进党的意识形态高墙里了吗,-1
特朗普又开撕科技公司大谈“言论自由”,-1
林冠英谴责国盟政府打压言论自由,-1
中共「训练」留学生侵犯澳纽校园言论自由,-1
美西华人学会研讨会探讨两岸言论自由,1
打压人权言论自由！剑桥大学拟褫夺林郑月娥荣誉院士头衔,-1
王丹：中共阻碍美国言论自由,-1
香港观察：中共危害全球言论自由香港是捍卫自由第一线,-1
岂能给侮辱英烈“言论自由”,-1
敦马：大专生虽有言论自由但应在适当地方发表,1
洪舜甫：“自由言论”不等于“言论自由”,-1
“对付异议民主退步”人权促进协会促维护言论自由,1
国际人权组织敦促联合国谴责港府侵犯集会言论自由及警暴,-1
美国根本没有言论自由！那个发公开信的航母舰长，被火速撤职,-1
麦燕庭：守住言论自由领地,1
周若鹏：言论自由不自由,-1
NBA总裁肖华辩称言论自由刚强:我们有遥控器自由,1
独立日海滩关闭橙县监事：感谢言论自由,1
德媒诋毁警察被内政部长指控越界,-1
活动人士聚集“暴雪嘉年华”抗议暴雪不尊重言论自由,-1
因言论自由山东诗人鲁扬被中共刑拘,-1
对《反渗透法》反交流反言论自由的质疑最终会影响台湾大选,-1
《当今》藐视法庭案张念群：判决恐影响言论自由,-1
梵蒂冈梵蒂冈：言论自由不能成为信仰歧视的理由,1
吴慧苑言论自由促进公共讨论,1
教联会：教师不能以言论自由为借口散布不当言论,-1
净化网络舆论还是保护言论自由：社交媒体面临两难困境,-1
隔海观澜\经不起考验的“台式言论自由”\朱穗怡,-1
美学者：抵御中共长臂捍卫校园言论自由,1
从国家安全到言论自由抖音为何成为美国警惕对象,-1
网络言论自由有边界,1
港新闻界：逃犯条例修订恐损害言论自由,-1
英国外交部：我们在讨论言论自由你闭嘴！,-1
我们为什么需要言论自由,1
美国务院发言人又拿“言论自由”挑事，华春莹：吹哨舰长这事儿,-1
“抱薪者点亮言论自由”华裔民众洛杉矶悼李文亮,1
出于政治动机压制言论自由，特朗普要扫除一切批评者,-1
当选遭恐吓王婉谕：言论自由不应无限上纲,-1
因发表不当言论自由软件倡导者理查德斯托曼辞去MIT职务,-1
人民眼睛不亮、嘴巴乱说，但信息公开、言论自由仍要坚持,1
NBA言论自由简史：从乔丹生涯最大污点说起,-1
香港传媒高层人事变动学者指北京加强操控言论自由受限制,-1
学阵担忧失言论自由国内东方网马来西亚东方日报,-1
"中国驻斯里兰卡使馆推特账号恢复:""言论自由""不应具有双重标准",1
默克尔激动演讲：言论自由是有边界的,1
《国歌法》原意旨在尊重曾国卫:不损言论自由,1
破坏战士纪念碑是为言论自由嫌犯疑发宣言,-1
《人民日报》谴责NBA双标:斯特林的言论自由呢,-1
恶心的言论自由！美国媒体逼迫詹姆斯力挺莫雷，不这样做后果,-1
侯永永：言论自由不是伪装无知要尊重他人的底线,-1
美国学者：暴力示威损害香港利益美所谓“言论自由”有“双标”,-1
歧视和仇恨言论也受到“言论自由”的保护吗,-1
胡少江：请习近平控制疫情停止扼杀言论自由,-1
陆生投诉台湾的大学教师歧视言论自由受限,-1
周长佑：与民主相辅相成．别滥权箝制言论自由,1
三大社媒封杀中国账号有违言论自由,-1
游戏风波再起“武汉肺炎”掀起两岸论战言论自由,-1
英学者：NBA的“言论自由”表明西方人对香港问题的无知,-1
肖华你在谈论的绝不是言论自由,-1
清华教授许章润被停职调查中国言论自由“雪上加霜”,-1
郭钟桂．言论自由的祸害地方,-1
土耳其宪法法院判决封锁维基百科违反言论自由,1
蓬佩奥们请回答：这就是美式“言论自由”,-1
林永源：阻止言论自由国盟勿散播白色恐怖,-1
香港电台《头条新闻》争议：言论自由被削弱的担忧,-1
萧华:支持莫雷言论自由向中国球迷道歉和这不矛盾,1
德语媒体:厄齐尔的言论自由阿森纳的可悲姿态,-1
时事大家谈：呼唤言论自由，李文亮之死警醒中国,1
扬言“杀蔡英文”却判无罪台湾言论自由的底线何在,-1
【名家专栏】新一代言论审查员,0
大陆知识界公开信谴责中共压制言论自由,-1
民众被“查水表”蓝呛上街头捍卫言论自由,1
胡平：言论自由是突破口,1
批评政府没被控大马人享言论自由,-1
新疆反恐片被YouTube下架西方言论自由又耍双标,-1
厌恶“民主墙”充斥粗口言论自由不包括仇恨言论,-1
韩办律师叶庆元批三立：别滥用言论自由,-1
台湾连侬墙赫见“新中国言论自由改革示范区”,1
新加坡模式下的媒体管控：言论自由引担忧,-1
意大利中国中国为意大利送来口罩；言论自由被窒息,-1
孔琳琳事件激发讨论：如何看言论自由,0
中国驱逐《华尔街日报》记者蓬佩奥斥限制言论自由,-1
网民：要言论自由！李文亮逝世爆空前舆论风波,1
因支持香港抗争，蒙特利尔居民言论自由受威胁,-1
【国际3分钟】拿言论自由说事的“双标侠”NBA：不道歉，就道别！短视频,-1
保障市民言论自由！林郑月娥：港版国安法有利稳定,1
港区国安法对港人“言论自由权”的保护与规制,1
港版国安法肃杀出版及言论自由公共图书馆下架复检异见书籍,-1
公开信满天飞诉求中国言论自由,1
"民主转型未带来言论自由缅记者:国家仍由""罪犯""掌权",-1
美司法部长：大学里压制言论自由的“恶霸”行为必须结束,1
林静仪事件赖清德：言论自由是珍贵资产,1
刘玉萍言论自由不自由地方,-1
多伦多撑港游行受阻港加联吁尊重言论自由,1
美指挥家发声盼疫情唤醒中国言论自由,1
韩阵营组「律师扶助团」捍卫言论自由,1
中国痛批“五星病毒旗”丹麦首相称言论自由是传统,0
达祖丁关于庸俗、自由主义和言论自由,0
回应“统一叛国说”赖清德强调言论自由,1
韩统一部：言论自由非无限反朝传单威胁民众安全,-1
香港记协：官方定调下特区新闻及言论自由空间逐渐收窄,-1
"北京日报：""言论自由""遮挡不住险恶用心",-1
香港仍有大学现“港独”横幅教育局：言论自由并非无限制,-1
因接受采访遭威胁异议人士马晓明：人民需要言论自由,1
美国大学校园的纠结：维护言论自由与排斥仇恨言论,-1
【扎基尔“离开论”】蔡添强：尊重言论自由交内政部调查,1
奥尼尔:莫雷是对的言论自由是美国最重要的价值观,1
莫雷失礼但言论自由NBA前总裁斯特恩发声受瞩,1
所谓“言论自由”洗刷不了《华尔街日报》的道德污点,-1
美司法部长：抵制进步主义保护宗教和新闻自由至关重要,1
美打压新闻自由列大公文汇入制裁名单,-1
世界新闻自由日：政府打压案例遍布全球,-1
陈国伟：希盟采开放态度大马新闻自由跃升,1
中国打压新闻自由关押记者人数全球最多,-1
港府硬推《逃犯条例》后香港新闻自由度和经济自由度双跌,-1
各界谴责狂徒向《文汇报》寄恐吓信打压新闻自由,-1
中美角力再起专家：受伤最深的是新闻自由,-1
港媒体人反对港区国安法担忧新闻自由及人身安全,-1
担心新闻自由空间收缩多家西方媒体考虑迁移部分驻港人员,-1
“记者无疆界”新闻自由奖授予三名女记者,1
伊朗：人权专家强调攻击记者威胁新闻自由,-1
菲律宾媒体人获释新闻自由未见光明,-1
世界新闻自由日各方致辞联合国,1
中共强推港版国安法各界忧新闻自由受威胁,-1
外交部：中国新闻自由状况怎么样大家自然有判断,0
中国输出「传媒新秩序」威胁全球新闻自由,-1
网媒管制不严雪隆派报公会：滥用新闻自由,-1
港媒：白宫采访要记者证美国无新闻自由,-1
新闻自由失守香港电台时事讽刺节目本季后停播,-1
恐吓新华无线记者黑魔打压新闻自由,-1
专访:香港新闻自由前景倾向悲观,-1
特朗普与媒体口水仗美“新闻自由指数”排名下跌,-1
香港新闻工作者联会强烈谴责打压新闻自由,-1
加国学者：中共欲控制媒体,-1
两事件侵犯新闻自由编协吁政府撤控,-1
忧香港《国安法》箝制新闻自由《纽时》部分员工撤出香港,-1
Facebook封号“灭声”，这就是西方倡导的“新闻自由”,-1
时报出版人：在危急时刻，为捍卫新闻自由而战,1
港新闻自由大幅下降立法会聚焦媒体人遭警暴,-1
中国摄影记者卢广荣获国际新闻自由奖提名,1
华人起诉“辱华”记者：我们不是打压新闻自由,0
中共驱赶美籍记者专家：不利香港发展,-1
特朗普：我们国家没有新闻自由媒体非常腐败,-1
蓝批驱逐陆媒“箝制新闻自由”绿轰为中共擦脂抹粉,-1
关键的时代，批判的头脑：印尼雅加达举行“世界新闻自由日”主题,1
世界新闻自由指数出炉中国全球倒数第四,-1
专访:新闻自由是香港的基石,1
荷兰新闻自由与国家安全情报工作的博弈，副首相发话,1
耿爽：变相大量“驱逐”中方媒体记者，美国所谓新闻自由十分虚伪,-1
澳主流媒体头版集体开天窗抗议政府限制新闻自由,-1
香港“高考”通识科新闻自由考题引发两极质疑考生为何感到为难,-1
世界新闻自由日临近美议员促川普政府发声,1
5月3日今年世界新闻自由日主题：“无畏无私的新闻”,1
无国界记者将中国网信办列为新闻自由的“网络掠夺者”,-1
“双标”的香港记协:“捉拿假记者妨碍新闻自由”,-1
媒体吁保障新闻自由澳洲保守派政府不理会,-1
狂徒砸烧新华社践踏新闻自由,-1
程晓容：中共「记者节」背后的真相,-1
港媒：纵暴区议员打压新闻自由,-1
国际记者组织批评中国威胁港台新闻自由,-1
黄书琪促国盟勿扼杀新闻自由南马,1
美国国务院最新人权报告关切北京打压台湾新闻自由,1
无国界记者呼吁香港当局保证新闻自由,1
流亡藏人记者于世界新闻自由日发声：西藏缺乏新闻自由,-1
联合国欢迎缅甸遭监禁记者获释强调该国新闻自由状况仍未改善,-1
港新闻联发声暴徒冲击新华分社严重挑衅新闻自由和法制,-1
西方“新闻自由”的双重标准,-1
新闻自由备受考验香港记者现身说法,-1
香港外国记者会要求港府保证新闻自由不受国安法影响,1
新华国际时评：莫须有的打压岂是“新闻自由”,-1
贺卫方：惨重代价能否换来新闻自由,-1
揭发艺人约炮劈腿新闻自由与公众人物隐私权拔河,-1
新闻自由探底记者斥港警“行刑式施袭”,-1
美国会两党提案，推动世界新闻自由,1
记者无疆界：中国若有新闻自由或能避免新冠大流行,1
港记协：香港新闻自由指数公众评分创新低,-1
何谓新闻自由?美国驻华大使馆以崔天凯和博明遭遇说明,0
美方一些官员总是借“新闻自由”指责中方“打压”外国媒体，中方对,-1
“勿颁新闻自由奖予桂民海”中方促瑞典部长别出席,-1
蓬佩奥：中国民众渴望新闻自由和真实信息,1
2018全球新闻自由指数出炉：中国倒数第五，朝鲜垫底,-1
央视：打击规模前所未有全美侵犯新闻自由事件激增,-1
菲媒体人网络诽谤案判有罪新闻自由堪虑,-1
香港新闻自由全球排名下跌至第80低于蒙古科特迪瓦,-1
新闻自由日：欧盟警告疫情期间新闻自由受限,-1
"北京日报：美国的新闻自由从来只是""神话""",-1
为什么新闻自由在当今愈发重要1,1
国际记者联盟批评中国利用战略手段负面影响新闻自由,-1
世界新闻自由日：新闻不畏惧也不逢迎,1
2019新闻自由排名﹕美国「亮橘灯」中国倒数第四,-1
江峰：“世界新闻自由日”揭露《逃犯条例》毁香港,-1
​陈奕福：马新闻自由虽世界排123媒体仍受法令约束,-1
卡迪耶欣：若希盟失政权“新闻自由或受限制”,-1
国安法冲击香港新闻自由纽时拟将部分业务迁至首尔,-1
评论：必须有力地捍卫新闻自由,1
无国界记者致林郑公开信反暴力支持新闻自由,1
捍卫自由律师团：威胁新闻自由促政府停查受访外劳,1
六四31年过后，中国依然是“新闻自由的头号敌人”,-1
香港记者愤怒了今发起“停止警暴、捍卫新闻自由”静默游行,1
香港记协指新闻自由已到危急存亡之秋,-1
罗智强批民进党、NCC干涉新闻自由,-1
刘慧卿：港府干涉新闻自由,-1
一场疫情能促生中国的新闻自由吗?,1
我们为什么需要新闻自由,1
究竟谁在打压新闻自由,-1
何谓新闻自由美国驻华大使馆举崔大使评论定义,1
欧国辉：对集会自由的双重标准,-1
美国宪法第一修正案—集会自由2:集会是怎样“炼”成的,1
警方庭令阻董总集会张健仁：违背集会自由,-1
美国宪法第一修正案集会自由1:可享受的公民权,1
香港高法：集会自由非绝对警方拒批未违基本法,1
新加坡：以法律吓阻言论、集会自由,-1
不惧中共施压加拿大力挺香港集会自由,1
香港收紧异见者游行集会自由,-1
剥削撑港集会自由权利数团体谴隆雪华堂报警,-1
海外华侨行使集会自由，齐齐反对香港抗议活动,1
王惠贞：禁蒙面法无损人权集会自由,1
联合国人权高专：香港《禁蒙面法》削弱集会自由权,-1
